Archivo,Línea,Columna,Regla,Severidad,Mensaje
src/generated/prisma/index.d.ts,1700,119,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,1714,17,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,1719,25,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,1724,124,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,1984,41,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,2068,13,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2078,13,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2086,9,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2092,83,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2105,147,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2107,62,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2114,148,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,2120,51,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,2366,37,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,2420,37,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,2516,37,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,2643,39,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,2715,37,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,2792,52,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,2792,122,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2793,52,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,2793,122,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2807,17,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,2812,28,@typescript-eslint/no-unused-vars,Error,"'ExtArgs' is defined but never used."
src/generated/prisma/index.d.ts,2817,127,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,3077,41,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,3161,13,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,3171,13,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,3179,9,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,3185,86,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,3198,150,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,3200,51,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,3201,65,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
